"","Username","Password","First.Name","Last.Name","Email.Address","GoalsSet","GoalsAchieved","BranchName"
"1","cray","addodsnjej","Chris","Ray","cray@example.com",432,2134,"9223"
"2","ewalsh","mkybxipasq","Evan","Walsh","ewalsh@example.com",22,1242,"9223"
"3","hwagner","jdpogav","Hayley","Wagner","hwagner@example.com",4242,543,"9223"
"4","ssmith","hzxntzy9","Shelia","Smith","ssmith@example.com",423,1413,"8930"
"5","jdavis","xmbtgmoif","Joel","Davis","jdavis@example.com",234,432,"8930"
"6","cfisher","z2dqwaog","Cody","Fisher","cfisher@example.com",432,34,"8930"
"7","ccontreras","ksurweq","Chelsea","Contreras","ccontreras@example.com",54,524,"8930"
"8","ntaylor","vfl2utbgp","Nicholas","Taylor","ntaylor@example.com",243,423,"8821"
"9","areed","atwopunxvhm","Allen","Reed","areed@example.com",145,43,"8821"
"10","cblake","yzaos2nqwj","Christopher","Blake","cblake@example.com",8,432,"8821"
"11","ksalinas","pehwcftfxi","Kirsten","Salinas","ksalinas@example.com",1415,242,"8821"
"12","kmiller","okiwggayom","Kimberly","Miller","kmiller@example.com",142,3201,"8484"
"13","jdavidson","y21wvyl","Jon","Davidson","jdavidson@example.com",79,1863,"8484"
"14","jsalazar","swfppwcbahc","Jacob","Salazar","jsalazar@example.com",145,815,"8484"
"15","emartin","nlfnzoxfaw5","Ethan","Martin","emartin@example.com",19,2120,"8484"
"16","jmartin","cmlrtpxlh","James","Martin","jmartin@example.com",82,648,"8482"
"17","mgarcia","jckxzqgor","Mary","Garcia","mgarcia@example.com",49,51,"8482"
"18","csaunders","kizivrl","Christina","Saunders","csaunders@example.com",4,786,"8482"
"19","epace","ydzpgdah","Erica","Pace","epace@example.com",473,635,"8482"
"20","tchoi","nadjbqqv0","Tamara","Choi","tchoi@example.com",48,65,"8470"
"21","kaguirre","woqsq9es","Kristen","Aguirre","kaguirre@example.com",27,648,"8470"
"22","ttodd","2eadnlw","Theodore","Todd","ttodd@example.com",49,363,"8470"
"23","pfox","yljglw4j","Patricia","Fox","pfox@example.com",7,4802,"8470"
"24","kgibson","j1eprn5kqy","Kimberly","Gibson","kgibson@example.com",28,2795,"8468"
"25","vhenry","mzvsgq7ytrr","Victoria","Henry","vhenry@example.com",17,1223,"8468"
"26","wwheeler","ikqgrlwhzr","William","Wheeler","wwheeler@example.com",2,3180,"8468"
"27","dfuller","49ilrkfsc0c","David","Fuller","dfuller@example.com",159,972,"8468"
"28","dlove","akkqqwkxzj","David","Love","dlove@example.com",17,77,"8461"
"29","jnunez","waoyqzou","Joshua","Nunez","jnunez@example.com",10,1179,"8461"
"30","mmcclure","0iqihe6owj","Michael","Mcclure","mmcclure@example.com",17,953,"8461"
"31","kparsons","xa8fhfstfkz","Kimberly","Parsons","kparsons@example.com",3,98,"8461"
"32","jkelly","bfg9nm8","Jason","Kelly","jkelly@example.com",10,972,"8460"
"33","pperez","kzgmqlumqwe","Paul","Perez","pperez@example.com",7,545,"8460"
"34","pgarrett","v5bbvcymvcg","Peter","Garrett","pgarrett@example.com",2,7203,"8460"
"35","rbishop","kcumztn","Renee","Bishop","rbishop@example.com",54,4193,"8460"
"36","sjackson","sbbjkdj7","Scott","Jackson","sjackson@example.com",7,1835,"8456"
"37","fmontoya","uem6kjc","Frederick","Montoya","fmontoya@example.com",4,486,"8456"
"38","cgray","pbjnehq9","Christina","Gray","cgray@example.com",7,38,"8456"
"39","mfletcher","gwkmbwrzrbb","Matthew","Fletcher","mfletcher@example.com",7,590,"8456"
"40","swolfe","blmxazxiw","Sean","Wolfe","swolfe@example.com",28,476,"8453"
"41","kli","v2vwcokpsym","Kevin","Li","kli@example.com",17,49,"8453"
"42","kmyers","j1beadod","Kenneth","Myers","kmyers@example.com",2,486,"8453"
"43","eperkins","0gdmc8pfpt","Edward","Perkins","eperkins@example.com",159,272,"8453"
"44","tbrown","dtaguxz","Timothy","Brown","tbrown@example.com",17,3602,"8452"
"45","lrobinson","fspwbiavqbr","Larry","Robinson","lrobinson@example.com",10,2096,"8452"
"46","aallen","rpegvzomyj","Amber","Allen","aallen@example.com",17,917,"8452"
"47","ptucker","onlljkb","Peter","Tucker","ptucker@example.com",3,2385,"8452"
"48","jmay","audrb0gwvar","Jeffery","May","jmay@example.com",10,729,"8451"
"49","jmills","re8wgvp","Jonathan","Mills","jmills@example.com",7,58,"8451"
"50","msimmons","ckmkxujmltr","Michelle","Simmons","msimmons@example.com",2,884,"8451"
"51","dharper","cai29hb","Dana","Harper","dharper@example.com",54,715,"8451"
"52","jpowell","mfbpmoklby","Jennifer","Powell","jpowell@example.com",7,74,"8444"
"53","kporter","ytdllxyfi9","Kimberly","Porter","kporter@example.com",4,729,"8444"
"54","rmartinez","nueveds","Rachel","Martinez","rmartinez@example.com",35,409,"8444"
"55","kbowers","iekhaphb","Karen","Bowers","kbowers@example.com",7,5402,"8444"
